Service: OnAllLights,  Device: 8 numMaxLuminosity: 0

Service: OnAllLights,  Device: 9 numMaxLuminosity: 0

Service: OnAllLights,  Device: 10 numMaxLuminosity: 0

Service: OnAllLights,  Device: 11 numMaxLuminosity: 0

Service: OnAllLights,  Device: 12 numMaxLuminosity: 0

Service: OnAllLights,  Device: 13 numMaxLuminosity: 0

Service: OnAllLights,  Device: 14 numMaxLuminosity: 0

Service: OnAllLights,  Device: 15 numMaxLuminosity: 0

Service: OnAllLights,  Device: 16 numMaxLuminosity: 0

Service: OnAllLights,  Device: 17 numMaxLuminosity: 0

Service: OnLightsBathroom,  Device: 1 numMaxLuminosity: 0

Service: OnLightsBathroom,  Device: 3 numMaxLuminosity: 0

Service: OnLightsKitchen,  Device: 2 numMaxLuminosity: 0

Service: OnLightsKitchen,  Device: 4 numMaxLuminosity: 0

Service: OnLightsLiving,  Device: 5 numMaxLuminosity: 0

Service: OnLightsLiving,  Device: 6 numMaxLuminosity: 0

Service: OnLightsLiving,  Device: 7 numMaxLuminosity: 0

Service: OnLightsLiving,  Device: 8 numMaxLuminosity: 0

Service: OnLightsHallway,  Device: 9 numMaxLuminosity: 0

Service: OnLightsHallway,  Device: 10 numMaxLuminosity: 0

Service: OnLightsCorridor,  Device: 11 numMaxLuminosity: 0

Service: OnLightsBedroom1,  Device: 14 numMaxLuminosity: 0

Service: OnLightsBedroom1,  Device: 15 numMaxLuminosity: 0

Service: OnLightsBedroom2,  Device: 12 numMaxLuminosity: 0

Service: OnLightsBedroom2,  Device: 13 numMaxLuminosity: 0

Service: OnHomeOffice,  Device: 16 numMaxLuminosity: 0

Service: OnHomeOffice,  Device: 17 numMaxLuminosity: 0

Service: NighttimeArea,  Device: 11 numMaxLuminosity: 0

Service: NighttimeArea,  Device: 12 numMaxLuminosity: 0

Service: NighttimeArea,  Device: 13 numMaxLuminosity: 0

Service: NighttimeArea,  Device: 14 numMaxLuminosity: 0

Service: NighttimeArea,  Device: 15 numMaxLuminosity: 0

Service: InsertAlarm,  Device: 23 numMaxLuminosity: 0

Service: InsertAlarm,  Device: 24 numMaxLuminosity: 0

Service: InsertAlarm,  Device: 25 numMaxLuminosity: 0

Service: InsertAlarm,  Device: 26 numMaxLuminosity: 0

Service: InsertAlarm,  Device: 27 numMaxLuminosity: 0

Service: OnAllLights,  Device: 1 numMinLuminosity: 0

Service: OnAllLights,  Device: 2 numMinLuminosity: 0

Service: OnAllLights,  Device: 3 numMinLuminosity: 0

Service: OnAllLights,  Device: 4 numMinLuminosity: 0

Service: OnAllLights,  Device: 5 numMinLuminosity: 0

Service: OnAllLights,  Device: 6 numMinLuminosity: 0

Service: OnAllLights,  Device: 7 numMinLuminosity: 0

Service: OnAllLights,  Device: 8 numMinLuminosity: 0

Service: OnAllLights,  Device: 9 numMinLuminosity: 0

Service: OnAllLights,  Device: 10 numMinLuminosity: 0

Service: OnAllLights,  Device: 11 numMinLuminosity: 0

Service: OnAllLights,  Device: 12 numMinLuminosity: 0

Service: OnAllLights,  Device: 13 numMinLuminosity: 0

Service: OnAllLights,  Device: 14 numMinLuminosity: 0

Service: OnAllLights,  Device: 15 numMinLuminosity: 0

Service: OnAllLights,  Device: 16 numMinLuminosity: 0

Service: OnAllLights,  Device: 17 numMinLuminosity: 0

Service: OnLightsBathroom,  Device: 1 numMinLuminosity: 0

Service: OnLightsBathroom,  Device: 3 numMinLuminosity: 0

Service: OnLightsKitchen,  Device: 2 numMinLuminosity: 0

Service: OnLightsKitchen,  Device: 4 numMinLuminosity: 0

Service: OnLightsLiving,  Device: 5 numMinLuminosity: 0

Service: OnLightsLiving,  Device: 6 numMinLuminosity: 0

Service: OnLightsLiving,  Device: 7 numMinLuminosity: 0

Service: OnLightsLiving,  Device: 8 numMinLuminosity: 0

Service: OnLightsHallway,  Device: 9 numMinLuminosity: 0

Service: OnLightsHallway,  Device: 10 numMinLuminosity: 0

Service: OnLightsCorridor,  Device: 11 numMinLuminosity: 0

Service: OnLightsBedroom1,  Device: 14 numMinLuminosity: 0

Service: OnLightsBedroom1,  Device: 15 numMinLuminosity: 0

Service: OnLightsBedroom2,  Device: 12 numMinLuminosity: 0

Service: OnLightsBedroom2,  Device: 13 numMinLuminosity: 0

Service: OnHomeOffice,  Device: 16 numMinLuminosity: 0

Service: OnHomeOffice,  Device: 17 numMinLuminosity: 0

Service: NighttimeArea,  Device: 11 numMinLuminosity: 0

Service: NighttimeArea,  Device: 12 numMinLuminosity: 0

Service: NighttimeArea,  Device: 13 numMinLuminosity: 0

Service: NighttimeArea,  Device: 14 numMinLuminosity: 0

Service: NighttimeArea,  Device: 15 numMinLuminosity: 0

Service: InsertAlarm,  Device: 23 numMinLuminosity: 0

Service: InsertAlarm,  Device: 24 numMinLuminosity: 0

Service: InsertAlarm,  Device: 25 numMinLuminosity: 0

Service: InsertAlarm,  Device: 26 numMinLuminosity: 0

Service: InsertAlarm,  Device: 27 numMinLuminosity: 0

Service: OnAllLights,  Device: 1 numMinTemp: 0

Service: OnAllLights,  Device: 2 numMinTemp: 0

Service: OnAllLights,  Device: 3 numMinTemp: 0

Service: OnAllLights,  Device: 4 numMinTemp: 0

Service: OnAllLights,  Device: 5 numMinTemp: 0

Service: OnAllLights,  Device: 6 numMinTemp: 0

Service: OnAllLights,  Device: 7 numMinTemp: 0

Service: OnAllLights,  Device: 8 numMinTemp: 0

Service: OnAllLights,  Device: 9 numMinTemp: 0

Service: OnAllLights,  Device: 10 numMinTemp: 0

Service: OnAllLights,  Device: 11 numMinTemp: 0

Service: OnAllLights,  Device: 12 numMinTemp: 0

Service: OnAllLights,  Device: 13 numMinTemp: 0

Service: OnAllLights,  Device: 14 numMinTemp: 0

Service: OnAllLights,  Device: 15 numMinTemp: 0

Service: OnAllLights,  Device: 16 numMinTemp: 0

Service: OnAllLights,  Device: 17 numMinTemp: 0

Service: OnLightsBathroom,  Device: 1 numMinTemp: 0

Service: OnLightsBathroom,  Device: 3 numMinTemp: 0

Service: OnLightsKitchen,  Device: 2 numMinTemp: 0

Service: OnLightsKitchen,  Device: 4 numMinTemp: 0

Service: OnLightsLiving,  Device: 5 numMinTemp: 0

Service: OnLightsLiving,  Device: 6 numMinTemp: 0

